ticker,model,MAE,RMSE,R2
AAPL,Linear Regression,0.0138057833595891,0.0418592932852562,-0.0045369507641896
AAPL,Random Forest,0.0155247323106699,0.0421721134025249,-0.0196632319246313
AMZN,Linear Regression,0.0164216206997668,0.0468251754382539,0.0136912628126102
AMZN,Random Forest,0.02549330780298125,0.05119797138438605,-0.1877256868645121
GOOGL,Linear Regression,0.0163502527273367,0.0234319706317114,-0.1937246437809496
GOOGL,Random Forest,0.01757095660291555,0.0244859797233029,-0.30594673805751693
MSFT,Linear Regression,0.014703668831144,0.0601730734290937,0.0039972018785713
MSFT,Random Forest,0.0148369663338991,0.060426030903239294,-0.00441205753599855
TSLA,Linear Regression,0.0297636065924082,0.0419702495069479,-0.1036284972122336
TSLA,Random Forest,0.029764735861960198,0.0422170889766927,-0.1166863776647243
